study_ID,Title,Author,Publication Title,Abstract Note,Publication Year,DOI
MINEROVIC_2020_18S,18S-V9 DNA metabarcoding detects the effect of water-quality impairment on stream biofilm eukaryotic assemblages,"Minerovic, Alison D.; Potapova, Marina G.; Sales, Christopher M.; Price, Jacob R.; Enache, Mihaela D.",ECOLOGICAL INDICATORS,"DNA metabarcoding is rapidly expanding as a new approach to biodiversity assessments and biomonitoring and is especially valuable for characterizing microbial communities in aquatic habitats. When applied to eukaryotic organisms, metabarcoding is usually targeting specific taxonomic groups, such as macroinvertebrates, fungi, diatoms, or other protists. The goal of this study was to explore the potential use of metabarcoding of entire biofilm eukaryotic assemblages for the purpose of stream biomonitoring. We sampled 14 stream sites in New Jersey, USA along an impairment gradient and characterized rock biofilm assemblages using Illumina Mi-Seq sequencing of the V9 hypervariable region of 18S rDNA following the Earth Microbiome Project (EMP) protocol. We also enumerated diatoms from the same samples to compare DNA metabarcoding results with morphological assessments. Among the 5866 unique rDNA sequence variants, the fungal and holozoan sequences were the most diverse, while diatom sequences were the most abundant in most sites. Among-site variability of assemblage composition was significantly higher than within-site variability of field and lab replicates, which indicates an acceptable level of reproducibility of the method. Different taxonomic groups of eukaryotes exhibited similar, but not identical patterns of assemblage variation in response to underlying environmental gradients. Both morphological and metabarcoding approaches recovered strong relationships between diatom assemblage composition and water quality impairment. Several other groups of eukaryotes, such as fungi, peronosporomycetes, green algae, and holozoans had only slightly weaker response to water quality impairment than diatoms. These findings suggest that molecular characterization of biofilm eukaryotic assemblages can be an effective tool for monitoring stream biota and its responses to disturbance even if the taxonomic assignments of sequences are only partially resolved.",2020,10.1016/j.ecolind.2020.106225
CAHILL_2018_ACO,A comparative analysis of metabarcoding and morphology-based identification of benthic communities across different regional seas,"Cahill, Abigail E.; Pearman, John K.; Borja, Angel; Carugati, Laura; Carvalho, Susana; Danovaro, Roberto; Dashfield, Sarah; David, Romain; Feral, Jean-Pierre; Olenin, Sergej; Siaulys, Andrius; Somerfield, Paul J.; Trayanova, Antoaneta; Uyarra, Maria C.; Chenuil, Anne",ECOLOGY AND EVOLUTION,"In a world of declining biodiversity, monitoring is becoming crucial. Molecular methods, such as metabarcoding, have the potential to rapidly expand our knowledge of biodiversity, supporting assessment, management, and conservation. In the marine environment, where hard substrata are more difficult to access than soft bottoms for quantitative ecological studies, Artificial Substrate Units (ASUs) allow for standardized sampling. We deployed ASUs within five regional seas (Baltic Sea, Northeast Atlantic Ocean, Mediterranean Sea, Black Sea, and Red Sea) for 12-26months to measure the diversity and community composition of macroinvertebrates. We identified invertebrates using a traditional approach based on morphological characters, and by metabarcoding of the mitochondrial cytochrome oxidase I (COI) gene. We compared community composition and diversity metrics obtained using the two methods. Diversity was significantly correlated between data types. Metabarcoding of ASUs allowed for robust comparisons of community composition and diversity, but not all groups were successfully sequenced. All locations were significantly different in taxonomic composition as measured with both kinds of data. We recovered previously known regional biogeographical patterns in both datasets (e.g., low species diversity in the Black and Baltic Seas, affinity between the Bay of Biscay and the Mediterranean). We conclude that the two approaches provide complementary information and that metabarcoding shows great promise for marine monitoring. However, until its pitfalls are addressed, the use of metabarcoding in monitoring of rocky benthic assemblages should be used in addition to classical approaches rather than instead of them.",2018,10.1002/ece3.4283
NUNES_2019_ACO,"A comparison between the morphological and molecular approach to identify the benthic diatom community in the St Lucia Estuary, South Africa","Nunes, M.; Adams, J. B.; Van Aswegen, S.; Matcher, G. F.",AFRICAN JOURNAL OF MARINE SCIENCE,"The use of diatoms as bioindicators to detect human-induced change is a globally accepted monitoring tool. DNA metabarcoding is an effective complementary tool to standard microscopic methods for species identification, providing reliable and timeous diatom assessments in a range of aquatic ecosystems. This study evaluated the suitability of the DNA metabarcoding approach for diatom monitoring in the St Lucia Estuary, South Africa. Results obtained from the standard microscopic (morphological) and molecular methods were compared and indicated a low similarity in the vegetated (11%), unvegetated (12%) and epiphytic (12%) habitats at species level for the epipelic and epiphytic diatom communities. The difference between the methods was expected given the challenges pertaining to the incomplete molecular reference database, intragenomic variability, physiological differences (number of chloroplasts) and highly variable microphytobenthos biomass. While the molecular method was unable to identify the presence of all the dominant diatom species (routinely used as ecological indicators), the available molecular operational taxonomic units (MOTUs) provided an effective complementary tool to determine the relevant community diversity estimates required for the application of the South African estuarine health index (EHI).",2019,10.2989/1814232X.2019.1689169
AYLAGAS_2018_ADA,Adapting metabarcoding-based benthic biomonitoring into routine marine ecological status assessment networks,"Aylagas, Eva; Borja, Angel; Muxika, Inigo; Rodriguez-Ezpeleta, Naiara",ECOLOGICAL INDICATORS,"The use of genomic approaches to assist with biodiversity estimations is an alternative to traditional biomonitoring, which is very time-consuming and costly. In response to the high demand for quick community descriptions, DNA metabarcoding can simultaneously assign taxonomy to hundreds of samples rapidly and at low cost. However, the technique has not routinely been incorporated into biomonitoring network programs yet. Here, we applied DNA metabarcoding methodologies at stations within the monitoring network of the Basque Water Agency, the competent authority for the application of the European Water Framework Directive in this region. We characterized the benthic macroinvertebrate communities from 18 estuarine and coastal sediment samples using morphology and metabarcoding-based taxonomic identification and evaluated the performance of several versions of the AZTI's Marine Biotic Index (AMBI). Although metabarcoding detected 112 taxa against the 206 taxa identified through morphology, we showed that metabarcoding leads to similar biomonitoring conclusions compared with traditional techniques. Using the abundance and biomass of those taxa detected from morphological methodologies, we found a significant positive correlation with the number of reads obtained with metabarcoding approaches. The metabarcoding-based index derived from read counts, gAMBI, and the morphology-based index derived from individuals' biomass, (B)AMBI, showed the best correlation and revealed excellent agreement at determining the ecological status of the stations analyzed. We calculated that, for the analysis of the 51 stations included in the Basque monitoring network, metabarcoding was 55% less costly and 72% less time consuming. The results of our study are relevant to policy makers and researchers in the field of ecological assessment and will contribute to the quick implementation of DNA metabarcoding to intensive monitoring programs.",2018,10.1016/j.ecolind.2018.07.044
STEYAERT_2020_ADV,Advances in metabarcoding techniques bring us closer to reliable monitoring of the marine benthos,"Steyaert, Margaux; Priestley, Victoria; Osborne, Owen; Herraiz, Alba; Arnold, Richard; Savolainen, Vincent",JOURNAL OF APPLIED ECOLOGY,"Reliable and accurate biodiversity census methods are essential for monitoring ecosystem health and assessing potential ecological impacts of future development projects. Although metabarcoding is increasingly used to study biodiversity across ecological research, morphology-based identification remains the preferred approach for marine ecological impact assessments. Comparing metabarcoding to morphology-based protocols currently used by ecological surveyors is essential to determine whether this DNA-based approach is suitable for long-term monitoring of the marine ecosystems. We compared metabarcoding and morphology-based approaches for the analysis of invertebrates in low diversity intertidal marine sediment samples. We used a recently developed bioinformatics pipeline and two taxonomic assignment methods to resolve and assign amplicon sequence variants (ASVs) from Illumina amplicon data. We analysed the community composition recovered by both methods and tested the effects, on the levels of diversity detected by the metabarcoding method, of sieving samples prior to DNA extraction. Metabarcoding of the mitochondrial marker cytochrome c oxidase I (COI) gene recovers the presence of more taxonomic groups than the morphological approach. We found that sieving samples results in lower alpha diversity detected and suggests a community composition that differs significantly from that suggested by un-sieved samples in our metabarcoding analysis. We found that while metabarcoding and morphological approaches detected similar numbers of species, they are unable to identify the same set of species across samples. Synthesis and applications. We show that metabarcoding using the cytochrome c oxidase I (COI) marker provides a more holistic, community-based, analysis of benthic invertebrate diversity than a traditional morphological approach. We also highlight current gaps in reference databases and bioinformatic pipelines for the identification of intertidal benthic invertebrates that need to be addressed before metabarcoding can replace traditional methods. Ultimately, with these limitations taken into consideration, resolving community-wide diversity patterns with metabarcoding could improve the management of non-protected marine habitats in the United Kingdom.",2020,10.1111/1365-2664.13729
MORTAGUA_2019_APP,Applicability of DNA metabarcoding approach in the bioassessment of Portuguese rivers using diatoms,"Mortagua, Andreia; Vasselon, Valentin; Oliveira, Ricardo; Elias, Carmen; Chardon, Cecile; Bouchez, Agnes; Rimet, Frederic; Feio, Maria Joao; Almeida, Salome F. P.",ECOLOGICAL INDICATORS,"Benthic diatom communities are used in the ecological assessment of Portuguese rivers through the calculation of an autecological index, the IPS (Indice de Polluosensibilite Specifique), officially adopted for Portugal. This index requires a high level of taxonomic expertise for morphological identification of individuals at species level. Advances in genomics, such as the DNA metabarcoding combined with high-throughput sequencing techniques offer a promising alternative to this classical approach, decreasing expertise requirement and therefore reducing time and costs. The aim of this study was to test the potential of DNA metabarcoding of diatoms in the bioassessment of Portuguese rivers, by comparing the classifications of the IPS obtained with morphological and molecular approaches. A total of 88 samples were collected in four river types and a quality gradient in central Portugal in the spring of 2017, following the Water Framework Directive (WFD) standards. The morphological approach comprised taxonomic identification of at least 400 valves, under the light microscope. Molecular approach included eDNA extraction followed by PCR amplification and DNA high-throughput sequencing (Illumina MiSeq) using a diatom-specific 312 bp rbcL DNA barcode. Sequences were analysed with Mothur software, producing Operational Taxonomic Units (OTUs) that were taxonomically assigned using the R-Syst::diatom reference library. We also tested the effect of a correction factor (CF) based on biovolume for the quantification of molecular data. When comparing the number of species identified, morphological, molecular without and with CF inventories revealed 306, 125 and 111 species, respectively. Molecular data showed 67% of unassigned OTUs. These results were mainly due to the incompleteness of the reference library, which currently represents the major difficulty in taxonomic assignment of DNA sequences in metabarcoding. Regarding IPS values, the results indicated a good correlation between morphological and molecular methods, particularly when applying the CF. Furthermore, Principal Coordinates analysis plot based on species abundances revealed a quality gradient in all 3 methodologies (morphological, molecular without and with CF). These results support the hypothesis that DNA metabarcoding is a valid approach for ecological quality assessment of Portuguese rivers. Yet, there is still work to be done on this new methodology to enable a smooth transition between the traditional and this new approach without misspend accumulated knowledge from the last decades on water quality assessment.",2019,10.1016/j.ecolind.2019.105470
STOECKLE_2017_AQU,Aquatic environmental DNA detects seasonal fish abundance and habitat preference in an urban estuary,"Stoeckle, Mark Y.; Soboleva, Lyubov; Charlop-Powers, Zachary",PLOS ONE,"The difficulty of censusing marine animal populations hampers effective ocean management. Analyzing water for DNA traces shed by organisms may aid assessment. Here we tested aquatic environmental DNA (eDNA) as an indicator of fish presence in the lower Hudson River estuary. A checklist of local marine fish and their relative abundance was prepared by compiling 12 traditional surveys conducted between 1988-2015. To improve eDNA identification success, 31 specimens representing 18 marine fish species were sequenced for two mitochondrial gene regions, boosting coverage of the 12S eDNA target sequence to 80% of local taxa. We collected 76 one-liter shoreline surface water samples at two contrasting estuary locations over six months beginning in January 2016. eDNA was amplified with vertebrate-specific 12S primers. Bioinformatic analysis of amplified DNA, using a reference library of GenBank and our newly generated 12S sequences, detected most (81%) locally abundant or common species and relatively few (23%) uncommon taxa, and corresponded to seasonal presence and habitat preference as determined by traditional surveys. Approximately 2% of fish reads were commonly consumed species that are rare or absent in local waters, consistent with wastewater input. Freshwater species were rarely detected despite Hudson River inflow. These results support further exploration and suggest eDNA will facilitate fine-scale geographic and temporal mapping of marine fish populations at relatively low cost.",2017,10.1371/journal.pone.0175186
UCHIDA_2020_AQU,Aquatic insect community structure revealed by eDNA metabarcoding derives indices for environmental assessment,"Uchida, Noriko; Kubota, Kengo; Aita, Shunsuke; Kazama, So",PEERJ,"Environmental DNA (eDNA) analysis provides an efficient and objective approach for monitoring and assessing ecological status; however, studies on the eDNA of aquatic insects, such as Ephemeroptera, Plecoptera, and Trichoptera (EPT), are limited despite its potential as a useful indicator of river health. Here, we investigated the community structures of aquatic insects using eDNA and evaluated the applicability of eDNA data for calculating assessment indices. Field surveys were conducted to sample river water for eDNA at six locations from upstream to downstream of two rivers in Japan in July and November 2016. Simultaneously, aquatic insects were collected using the traditional Surber net survey method. The communities of aquatic insects were revealed using eDNA by targeting the cytochrome oxidase subunit I gene in mitochondrial DNA via metabarcoding analyses. As a result, the eDNA revealed 63 families and 75 genera of aquatic insects, which was double than that detected by the Surber net survey (especially for families in Diptera and Hemiptera). The seasonal differences of communities were distinguished by both the eDNA and Surber net survey data. Furthermore, the total nitrogen concentration, a surrogate of organic pollution, showed positive correlations with biotic environmental assessment indices (i.e., EPT index and Chironomidae index) calculated using eDNA at the genus-level resolution but the indices calculated using the Surber net survey data. Our results demonstrated that eDNA analysis with higher taxonomic resolution can provide as a more sensitive environmental assessment index than the traditional method that requires biotic samples.",2020,10.7717/peerj.9176
VASSELON_2017_ASS,"Assessing ecological status with diatoms DNA metabarcoding: Scaling-up on a WFD monitoring network (Mayotte island, France)","Vasselon, Valentin; Rimet, Frederic; Tapolczai, Kalman; Bouchez, Agnes",ECOLOGICAL INDICATORS,"Diatoms are excellent ecological indicators of water quality because they are broadly distributed, they show high species diversity and they respond rapidly to human pressures. In Europe, the Water Framework Directive (WFD) gives the legal basis for the use of this indicator for water quality assessment and its management. Several quality indices, like the Specific Polluosensitivity Index (SPI), were developed to assess the ecological quality status of rivers based on diatom communities. It is based on morphological identifications and count of diatom species present in natural biofilms using a microscope. This methodology requires high taxonomic skills and several hours of analysis per sample as 400 individuals must be identified to species level. Since several years, a molecular approach based on DNA metabarcoding combined to High-Throughput Sequencing (HTS) is developed to characterize species assemblages in environmental samples which is potentially faster and cheaper. The ability of this approach to provide reliable diatom inventories has been demonstrated and its application to water quality assessment is currently being improved. Despite optimization of the DNA metabarcoding process with diatoms, few studies had yet extended it at the scale of a freshwater monitoring network and evaluated the reliability of its quality assessment compared to the classical morphological approach. In the present study we applied DNA metabarcoding to the river monitoring network of the tropical Island Mayotte. This island is a French departement since 2011 and the WFD has to be applied. This offered the opportunity to scale up the comparison of molecular and morphological approaches and their ability to produce comparable community inventories and water quality assessments. Benthic diatoms were sampled following WFD standards in 45 river sites in 2014 and 2015 (80 samples). All samples were submitted in parallel to the molecular and the morphological approaches. DNA metabarcoding was carried out using Genelute DNA extraction method, rbcL DNA barcode and PGM sequencing, while microscopic counts were carried out for the classical methodology. Diatom community structures in terms of molecular (OTUs) and of morphological (species) were significantly correlated. However, only 13% of the species was shared by both approaches, with qualitative and quantitative variation due to i) the incompleteness of the reference library (82% of morphological species are not represented in the database), ii) limits in taxonomic knowledge and iii) biases in the estimation of relative abundances linked to diatom cell biovolume. However, ecological quality status assessed with the molecular and morphological SPI values were congruent, and little affected by sequencing depth. DNA metabarcoding of diatom communities allowed a reliable estimation of the quality status for most of the rivers at the scale of the full biomonitoring network of Mayotte Island.",2017,10.1016/j.ecolind.2017.06.024
ELBRECHT_2017_ASS,Assessing strengths and weaknesses of DNA metabarcoding-based macroinvertebrate identification for routine stream monitoring,"Elbrecht, Vasco; Vamos, Ecaterina Edith; Meissner, Kristian; Aroviita, Jukka; Leese, Florian",METHODS IN ECOLOGY AND EVOLUTION,"1. DNA metabarcoding holds great promise for the assessment of macroinvertebrates in stream ecosystems. However, few large-scale studies have compared the performance of DNA metabarcoding with that of routine morphological identification. 2. We performed metabarcoding using four primer sets on macroinvertebrate samples from 18 stream sites across Finland. The samples were collected in 2013 and identified based on morphology as part of a Finnish stream monitoring program. Specimens were morphologically classified, following standardised protocols, to the lowest taxonomic level for which identification was feasible in the routine national monitoring. 3. DNA metabarcoding identified more than twice the number of taxa than the morphology-based protocol, and also yielded a higher taxonomic resolution. For each sample, we detected more taxa by metabarcoding than by the morphological method, and all four primer sets exhibited comparably good performance. Sequence read abundance and the number of specimens per taxon (a proxy for biomass) were significantly correlated in each sample, although the adjusted R-2 values were low. With a few exceptions, the ecological status assessment metrics calculated from morphological and DNA metabarcoding datasets were similar. Given the recent reduction in sequencing costs, metabarcoding is currently approximately as expensive as morphology-based identification. 4. Using samples obtained in the field, we demonstrated that DNA metabarcoding can achieve comparable assessment results to current protocols relying on morphological identification. Thus, metabarcoding represents a feasible and reliable method to identify macroinvertebrates in stream bioassessment, and offers powerful advantage over morphological identification in providing identification for taxonomic groups that are unfeasible to identify in routine protocols. To unlock the full potential of DNA metabarcoding for ecosystem assessment, however, it will be necessary to address key problems with current laboratory protocols and reference databases.",2017,10.1111/2041-210X.12789
